t,wind_speed_m_s,load_kw
0,1.5,80.0
1,1.5,80.0
2,1.5,80.0
3,1.5,80.0
4,1.5,80.0
5,1.5,80.0
6,1.5,80.0
7,1.5,80.0
8,1.5,80.0
9,1.5,80.0
10,1.5,80.0
11,1.5,80.0
12,1.5,80.0
13,1.5,80.0
14,1.5,80.0
15,1.5,80.0
16,1.5,80.0
17,1.5,80.0
18,1.5,80.0
19,1.5,80.0
20,1.5,80.0
21,1.5,80.0
22,1.5,80.0
23,1.5,80.0
24,1.5,80.0
25,1.5,80.0
26,1.5,80.0
27,1.5,80.0
28,1.5,80.0
29,1.5,80.0
30,1.5,80.0
31,1.5,80.0
32,1.5,80.0
33,1.5,80.0
34,1.5,80.0
35,1.5,80.0
36,1.5,80.0
37,1.5,80.0
38,1.5,80.0
39,1.5,80.0
40,1.5,80.0
41,1.5,80.0
42,1.5,80.0
43,1.5,80.0
44,1.5,80.0
45,1.5,80.0
46,1.5,80.0
47,1.5,80.0
48,1.5,80.0
49,1.5,80.0
50,1.5,80.0
51,1.5,80.0
52,1.5,80.0
53,1.5,80.0
54,1.5,80.0
55,1.5,80.0
56,1.5,80.0
57,1.5,80.0
58,1.5,80.0
59,1.5,80.0
60,1.5,80.0
