t,wind_speed_m_s,load_kw
0,2.0,50.0
1,2.27,51.0
2,2.53,52.0
3,2.8,53.0
4,3.07,54.0
5,3.33,55.0
6,3.6,56.0
7,3.87,57.0
8,4.13,58.0
9,4.4,59.0
10,4.67,60.0
11,4.93,61.0
12,5.2,62.0
13,5.47,63.0
14,5.73,64.0
15,6.0,65.0
16,6.4,66.0
17,6.8,67.0
18,7.2,68.0
19,7.6,69.0
20,8.0,70.0
21,8.4,69.25
22,8.8,68.5
23,9.2,67.75
24,9.6,67.0
25,10.0,66.25
26,10.4,65.5
27,10.8,64.75
28,11.2,64.0
29,11.6,63.25
30,12.0,62.5
31,12.0,61.75
32,12.0,61.0
33,12.0,60.25
34,12.0,59.5
35,12.0,58.75
36,12.0,58.0
37,12.0,57.25
38,12.0,56.5
39,12.0,55.75
40,12.0,55.0
41,12.0,55.5
42,12.0,56.0
43,12.0,56.5
44,12.0,57.0
45,12.0,57.5
46,11.87,58.0
47,11.73,58.5
48,11.6,59.0
49,11.47,59.5
50,11.33,60.0
51,11.2,60.5
52,11.07,61.0
53,10.93,61.5
54,10.8,62.0
55,10.67,62.5
56,10.53,63.0
57,10.4,63.5
58,10.27,64.0
59,10.13,64.5
60,10.0,65.0
