t,wind_speed_m_s,load_kw
0,22.0,80.0
1,22.0,80.0
2,22.0,80.0
3,22.0,80.0
4,22.0,80.0
5,22.0,80.0
6,22.0,80.0
7,22.0,80.0
8,22.0,80.0
9,22.0,80.0
10,22.0,80.0
11,22.0,80.0
12,22.0,80.0
13,22.0,80.0
14,22.0,80.0
15,22.0,80.0
16,22.0,80.0
17,22.0,80.0
18,22.0,80.0
19,22.0,80.0
20,22.0,80.0
21,22.0,80.0
22,22.0,80.0
23,22.0,80.0
24,22.0,80.0
25,22.0,80.0
26,22.0,80.0
27,22.0,80.0
28,22.0,80.0
29,22.0,80.0
30,22.0,80.0
31,22.0,80.0
32,22.0,80.0
33,22.0,80.0
34,22.0,80.0
35,22.0,80.0
36,22.0,80.0
37,22.0,80.0
38,22.0,80.0
39,22.0,80.0
40,22.0,80.0
41,22.0,80.0
42,22.0,80.0
43,22.0,80.0
44,22.0,80.0
45,22.0,80.0
46,22.0,80.0
47,22.0,80.0
48,22.0,80.0
49,22.0,80.0
50,22.0,80.0
51,22.0,80.0
52,22.0,80.0
53,22.0,80.0
54,22.0,80.0
55,22.0,80.0
56,22.0,80.0
57,22.0,80.0
58,22.0,80.0
59,22.0,80.0
60,22.0,80.0
