t,wind_speed_m_s,load_kw
0,10.0,60.0
1,10.03,58.5
2,10.07,57.0
3,10.1,55.5
4,10.13,54.0
5,10.17,52.5
6,10.2,51.0
7,10.23,49.5
8,10.27,48.0
9,10.3,46.5
10,10.33,45.0
11,10.37,43.5
12,10.4,42.0
13,10.43,40.5
14,10.47,39.0
15,10.5,37.5
16,10.53,36.0
17,10.57,34.5
18,10.6,33.0
19,10.63,31.5
20,10.67,30.0
21,10.7,29.5
22,10.73,29.0
23,10.77,28.5
24,10.8,28.0
25,10.83,27.5
26,10.87,27.0
27,10.9,26.5
28,10.93,26.0
29,10.97,25.5
30,11.0,25.0
31,11.03,24.5
32,11.07,24.0
33,11.1,23.5
34,11.13,23.0
35,11.17,22.5
36,11.2,22.0
37,11.23,21.5
38,11.27,21.0
39,11.3,20.5
40,11.33,20.0
41,11.37,20.25
42,11.4,20.5
43,11.43,20.75
44,11.47,21.0
45,11.5,21.25
46,11.53,21.5
47,11.57,21.75
48,11.6,22.0
49,11.63,22.25
50,11.67,22.5
51,11.7,22.75
52,11.73,23.0
53,11.77,23.25
54,11.8,23.5
55,11.83,23.75
56,11.87,24.0
57,11.9,24.25
58,11.93,24.5
59,11.97,24.75
60,12.0,25.0
