t,wind_speed_m_s,load_kw
0,10.0,200.0
1,10.1,206.67
2,10.2,213.33
3,10.3,220.0
4,10.4,226.67
5,10.5,233.33
6,10.6,240.0
7,10.7,246.67
8,10.8,253.33
9,10.9,260.0
10,11.0,266.67
11,11.1,273.33
12,11.2,280.0
13,11.3,286.67
14,11.4,293.33
15,11.5,300.0
16,11.6,305.33
17,11.7,310.67
18,11.8,316.0
19,11.9,321.33
20,12.0,326.67
21,12.0,332.0
22,12.0,337.33
23,12.0,342.67
24,12.0,348.0
25,12.0,353.33
26,12.0,358.67
27,12.0,364.0
28,12.0,369.33
29,12.0,374.67
30,12.0,380.0
31,12.0,380.0
32,12.0,380.0
33,12.0,380.0
34,12.0,380.0
35,12.0,380.0
36,12.0,380.0
37,12.0,380.0
38,12.0,380.0
39,12.0,380.0
40,12.0,380.0
41,11.95,380.0
42,11.9,380.0
43,11.85,380.0
44,11.8,380.0
45,11.75,380.0
46,11.7,378.0
47,11.65,376.0
48,11.6,374.0
49,11.55,372.0
50,11.5,370.0
51,11.45,368.0
52,11.4,366.0
53,11.35,364.0
54,11.3,362.0
55,11.25,360.0
56,11.2,358.0
57,11.15,356.0
58,11.1,354.0
59,11.05,352.0
60,11.0,350.0
