t,wind_speed_m_s,load_kw
0,8.0,0.0
1,8.05,1.67
2,8.1,3.33
3,8.15,5.0
4,8.2,6.67
5,8.25,8.33
6,8.3,10.0
7,8.35,11.67
8,8.4,13.33
9,8.45,15.0
10,8.5,16.67
11,8.55,18.33
12,8.6,20.0
13,8.65,21.67
14,8.7,23.33
15,8.75,25.0
16,8.8,26.67
17,8.85,28.33
18,8.9,30.0
19,8.95,31.67
20,9.0,33.33
21,9.05,35.0
22,9.1,36.67
23,9.15,38.33
24,9.2,40.0
25,9.25,41.67
26,9.3,43.33
27,9.35,45.0
28,9.4,46.67
29,9.45,48.33
30,9.5,50.0
31,9.55,53.33
32,9.6,56.67
33,9.65,60.0
34,9.7,63.33
35,9.75,66.67
36,9.8,70.0
37,9.85,73.33
38,9.9,76.67
39,9.95,80.0
40,10.0,83.33
41,10.05,86.67
42,10.1,90.0
43,10.15,93.33
44,10.2,96.67
45,10.25,100.0
46,10.3,103.33
47,10.35,106.67
48,10.4,110.0
49,10.45,113.33
50,10.5,116.67
51,10.55,120.0
52,10.6,123.33
53,10.65,126.67
54,10.7,130.0
55,10.75,133.33
56,10.8,136.67
57,10.85,140.0
58,10.9,143.33
59,10.95,146.67
60,11.0,150.0
61,11.05,154.33
62,11.1,158.67
63,11.15,163.0
64,11.2,167.33
65,11.25,171.67
66,11.3,176.0
67,11.35,180.33
68,11.4,184.67
69,11.45,189.0
70,11.5,193.33
71,11.55,197.67
72,11.6,202.0
73,11.65,206.33
74,11.7,210.67
75,11.75,215.0
76,11.8,219.33
77,11.85,223.67
78,11.9,228.0
79,11.95,232.33
80,12.0,236.67
81,11.97,241.0
82,11.95,245.33
83,11.93,249.67
84,11.9,254.0
85,11.88,258.33
86,11.85,262.67
87,11.82,267.0
88,11.8,271.33
89,11.78,275.67
90,11.75,280.0
91,11.72,282.33
92,11.7,284.67
93,11.68,287.0
94,11.65,289.33
95,11.62,291.67
96,11.6,294.0
97,11.57,296.33
98,11.55,298.67
99,11.53,301.0
100,11.5,303.33
101,11.47,305.67
102,11.45,308.0
103,11.43,310.33
104,11.4,312.67
105,11.38,315.0
106,11.35,317.33
107,11.32,319.67
108,11.3,322.0
109,11.28,324.33
110,11.25,326.67
111,11.22,329.0
112,11.2,331.33
113,11.18,333.67
114,11.15,336.0
115,11.12,338.33
116,11.1,340.67
117,11.07,343.0
118,11.05,345.33
119,11.03,347.67
120,11.0,350.0
